altura;categoria;descricao;evoluide;habilidade;nome;sexo
0,6 m;Tadpole;Poliwag has a very thin skin. It is possible to see the Pokémon's spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.;;Damp, Water Absorb;Poliwag ;Ambos
0,8 m;Superpower;Machop's muscles are special—they never get sore no matter how much they are used in exercise. This Pokémon has sufficient power to hurl a hundred adult humans.;;Guts, No Guard;Machop;Ambos
1,5 m;Superpower;Machoke's thoroughly toned muscles possess the hardness of steel. This Pokémon has so much strength, it can easily hold aloft a sumo wrestler on just one finger.;Machop;Guts, No Guard;Machoke ;Ambos
1,6 m;Superpower;Machamp has the power to hurl anything aside. However, trying to do any work requiring care and dexterity causes its arms to get tangled. This Pokémon tends to leap into action before it thinks.;Machoke;Guts, No Guard;Machamp ;Ambos
0,7 m;Flower;Bellsprout's thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.;;Clorophyll;Bellsprout ;Ambos
1,0 m;Rock;Graveler grows by feeding on rocks. Apparently, it prefers to eat rocks that are covered in moss. This Pokémon eats its way through a ton of rocks on a daily basis.;Geodude;Rock Head, Sturdy;Graveler ;Ambos
1,4 m;Megaton;Golem live up on mountains. If there is a large earthquake, these Pokémon will come rolling down off the mountains en masse to the foothills below.;Graveler;Rock Head, Sturdy;Golem ;Ambos
1,0 m;Fire Horse;Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.;;Run Away, Flash Fire;Ponyta ;Ambos
1,7 m;Fire Horse;Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.;Ponyta;Run Away, Flash Fire;Rapidash;Ambos
1,2 m;Dopey;Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it's doing and often spends entire days just loafing at water's edge.;;Oblivious, Own Tempo;Slowpoke;Ambos
1,2 m;Ball;Electrode eats electricity in the atmosphere. On days when lightning strikes, you can see this Pokémon exploding all over the place from eating too much electricity.;Voltorb;Static, Soundproof;Electrode;Desconhecido
0,4 m;Egg;This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution.;;Chlorophyll;Exeggcute;Ambos
2,0 m;Coconut;Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute.;Exeggcute;Chlorophyll;Exeggutor;Ambos
0,4 m;Lonely;Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds.;;Rock Head, Lightning Rod;Cubone;Ambos
1,0 m;Bone Keeper;Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon's tempered and hardened spirit is not easily broken.;Cubone;Rock Head, Lightning Rod;Marowak;Ambos
1,5 m;Kicking;Hitmonlee's legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue.;;Limber, Reckless;Hitmonlee;Macho
1,4 m;Punching;Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.;;Keen Eye, Iron Fist;Hitmonchan;Macho
1,2 m;Licking;Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things.;;Oblivious, Own Tempo;Lickitung;Ambos
0,6 m;Poison Gas;If Koffing becomes agitated, it raises the toxicity of its internal gases and jets them out from all over its body. This Pokémon may also overinflate its round body, then explode.;;Levitate;Koffing;Ambos
1,2 m;Poison Gas;Weezing loves the gases given off by rotted kitchen garbage. This Pokémon will find a dirty, unkempt house and make it its home. At night, when the people in the house are asleep, it will go through the trash.;Koffing;Levitate;Weezing;Ambos
1,0 m;Spikes;Rhyhorn runs in a straight line, smashing everything in its path. It is not bothered even if it rushes headlong into a block of steel. This Pokémon may feel some pain from the collision the next day, however.;;Rock Head, Lightning Rod;Rhyhorn ;Ambos
1,9 m;Drill;Rhydon's horn can crush even uncut diamonds. One sweeping blow of its tail can topple a building. This Pokémon's hide is extremely tough. Even direct cannon hits don't leave a scratch.;Rhyhorn;Rock Head, Lightning Rod;Rhydon;Ambos
1,1 m;Egg;Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite.;;Natural Cure, Serene Grace;Chansey ;Femea
1,0 m;Vine;Tangela's vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.;;Clorophyll;Tangela ;Ambos
0,8 m;Lightning;Jolteon's cells generate a low level of electricity. This power is amplified by the static electricity of its fur, enabling the Pokémon to drop thunderbolts. The bristling fur is made of electrically charged needles.;Eeve;Volt Absorb;Jolteon ;Ambos
0,9 m;Flame;Flareon's fluffy fur has a functional purpose—it releases heat into the air so that its body does not get excessively hot. This Pokémon's body temperature can rise to a maximum of 1,650 degrees Fahrenheit.;Eeve;Flash Fire;Flareon ;Ambos
0,8 m;Virtual;Porygon is capable of reverting itself entirely back to program data and entering cyberspace. This Pokémon is copy protected so it cannot be duplicated by copying.;;Trace, Download;Porygon ;Desconhecido
0,4 m;Spiral;Omanyte is one of the ancient and long-since-extinct Pokémon that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell.;;Shell Armor, Swift Swin;Omanyte;Ambos
1,0 m;Spiral;Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy, causing its movements to become too slow and ponderous.;Omanyte;Shell Armor, Swift Swin;Omastar;Ambos
0,5 m;Shellfish;Kabuto is a Pokémon that has been regenerated from a fossil. However, in extremely rare cases, living examples have been discovered. The Pokémon has not changed at all for 300 million years.;;Swift Swim, Battle Armor;Kabuto ;Ambos
1,7 m;Flame;Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.;Charmeleon;Blaze;Charizard;Ambos
0,5 m;Tiny Turtle;Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.;;Torrent;Squirtle;Ambos
1,0 m;Turtle;Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon's toughness as a battler.;Squirtle;Torrent;Wartortle;Ambos
1,6 m;Shellfish;Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.;Wartortle;Torrent;Blastoise;Ambos
0,3 m;Worm;Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.;;Shield Dust;Caterpie;Ambos
6,5 m;Atrocius;When Magikarp evolves into Gyarados, its brain cells undergo a structural transformation. It is said that this transformation is to blame for this Pokémon's wildly violent nature.;Magikarp;Intimidate;Gyarados;Ambos
2,5 m;Transport;People have driven Lapras almost to the point of extinction. In the evenings, this Pokémon is said to sing plaintively as it seeks what few others of its kind still remain.;;Water absorb, shell armor;Lapras;Ambos
0,3 m;Transform;Ditto rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this Pokémon manages to get details wrong.;;Limber;Ditto;Desconhecido
0,3 m;Evolution;Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pokémon to evolve.;;Run away, Adaptability;Eeve;Ambos
1,0 m;Bubble Jet;Vaporeon underwent a spontaneous mutation and grew fins and gills that allow it to live underwater. This Pokémon has the ability to freely control water.;Eeve;Water absorb;Vaporeon;Ambos
1,8 m;Triple Bird;Watch out if Dodrio's three heads are looking in three separate directions. It's a sure sign that it is on its guard. Don't go near this Pokémon if it's being wary—it may decide to peck you.;Doduo;Run Away, Early Bird;Dodrio;Ambos
1,1 m;Sea Lion;Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.;;Thick Fat, Hydration;Seel;Ambos
1,7 m;Sea Lion;Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.;Seel;Thick Fat, Hydration;Dewgong;Ambos
0,9 m;Sludge;Grimer's sludgy and rubbery body can be forced through any opening, however small it may be. This Pokémon enters sewer pipes to drink filthy wastewater.;;Stench, Sticky Hold;Grimer;Ambos
1,2 m;Sludge;From Muk's body seeps a foul fluid that gives off a nose-bendingly horrible stench. Just one drop of this Pokémon's body fluid can turn a pool stagnant and rancid.;Grimer;Stench, Sticky Hold;Muk;Ambos
0,3 m;Bivalve;At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out.;;Shell Armor, Skill Link;Shelder;Ambos
0,3 m;Tiny Bird;Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.;;Keen Eye;Spearow;Ambos
1,2 m;Beak;Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.;Spearow;Keen Eye;Fearow;Ambos
2,0 m;Snake;Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.;;Shed Skin, Intimidate;Ekans;Ambos
3,5 m;Cobra;This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.;Ekans;Shed Skin, Intimidate;Arbok;Ambos
0,4 m;Mouse;Whenever Pikachu comes across something new, it blasts it with a jolt of electricity. If you come across a blackened berry, it's evidence that this Pokémon mistook the intensity of its charge.;Pichu;Static;Pikachu;Ambos
0,7 m;Seed;Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.;;Overgrow;Bulbasaur;Ambos
1,0 m;Seed;here is a bud on this Pokémon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.;Bulbasaur;Overgrow;Ivysaur;Ambos
2,0 m;Seed;There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.;Ivysaur;Overgrow;Venusaur;Ambos
0,6 m;Lizard;The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.;;Blaze;Charmander;Ambos
1,1 m;Flame;Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.;Charmander;Blaze;Charmeleon;Ambos
2,2 m;Parent;If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pokémon's parent is sure to be in the area, and it will become violently enraged at you.;;Early Bird, Scrappy;Kangaskhan;Ambos
0,4 m;Dragon;Horsea eats small insects and moss off of rocks. If the ocean current turns fast, this Pokémon anchors itself by wrapping its tail around rocks or coral to prevent being washed away;;Swift swim, Sniper;Horsea ;Ambos
1,2 m;Dragon;Seadra sleeps after wriggling itself between the branches of coral. Those trying to harvest coral are occasionally stung by this Pokémon's poison barbs if they fail to notice it.;Horsea;Poison point, sniper;Seadra ;Ambos
0,6 m;Goldfish;Goldeen is a very beautiful Pokémon with fins that billow elegantly in water. However, don't let your guard down around this Pokémon—it could ram you powerfully with its horn.;;Swift swim, Water veil;Goldeen;Ambos
1.3 m;Goldfish;In the autumn, Seaking males can be seen performing courtship dances in riverbeds to woo females. During this season, this Pokémon's body coloration is at its most beautiful.;Goldeen;Swift swim, Water veil;Seaking ;Ambos
1,0 m;Hypnosis;If your nose becomes itchy while you are sleeping, it's a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils.;;Insomnia, Forewarm;Drowzee;Ambos
1,6 m;Hypnosis;Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum.;Drowzee;Insomnia, Forewarm;Hypno;Ambos
0,4 m;River Crab;Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.;;Shell Armor, Hyper Cutter;Krabby;Ambos
1,3 m;Pincer;Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires.;Krabby;Shell Armor, Hyper Cutter;Kingler;Ambos
0,5 m;Ball;Voltorb was first sighted at a company that manufactures Poké Balls. The link between that sighting and the fact that this Pokémon looks very similar to a Poké Ball remains a mystery.;;Static, Soundproof;Voltorb;Desconhecido
1,0 m;Flycatcher;Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.;Bellsprout;Clorophyll;Weepinbell;Ambos
1,7 m;Flycatcher;Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.;Weepinbell;Clorophyll;Victreebel;Ambos
0,9 m;Jellyfish;Tentacool's body is largely composed of water. If it is removed from the sea, it dries up like parchment. If this Pokémon happens to become dehydrated, put it back into the sea.;;Clear Body, Liquid Ooze;Tentacool;Ambos
1,6 m;Jellyfish;Tentacruel has large red orbs on its head. The orbs glow before lashing the vicinity with a harsh ultrasonic blast. This Pokémon's outburst creates rough waves around it.;Tentacool;Clear Body, Liquid Ooze;Tentacruel;Ambos
0,4 m;Rock;The longer a Geodude lives, the more its edges are chipped and worn away, making it more rounded in appearance. However, this Pokémon's heart will remain hard, craggy, and rough always.;;Rock Head, Sturdy;Geodude;Ambos
0,8 m;Star Shape;Staryu's center section has an organ called the core that shines bright red. If you go to a beach toward the end of summer, the glowing cores of these Pokémon look like the stars in the sky.;;Nature Cure, Iluminate;Staryu;Ambos
1,1 m;Mysterious;Starmie's center section—the core—glows brightly in seven colors. Because of its luminous nature, this Pokémon has been given the nickname “the gem of the sea.";Staryu;Nature Cure, Iluminate;Starmie;Ambos
1,3 m;Barrier;Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced, the unseeable thing exists as if it were real.;;Soundproof, Filter;Mr. Mime;Ambos
1,5 m;Mantis;Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pokémon's scythes are so effective, they can slice through thick logs in one wicked stroke.;;Swarm, Technician;Scyther;Ambos
1,4 m;Human Shape;Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing.;;Oblivious, Forewarn;Jynx;Femea
